Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age_group,montly_income_per_year_at_company,Experience_Internal,stagnation_in_role,JobRole_Department
41,1,Travel_Rarely,1102,Sales,1,2 - College,Life Sciences,2 - Medium,Female,94,3 - High,2,Sales Executive,4 - Very High,Single,5993,19479,8,Y,Yes,11,3- Excellent,1 - Low,0,8,0,1- Bad,6,4,0,5,35-44,856.1428571428571,0.75,0.6666666666666666,Sales Executive_Sales
49,0,Travel_Frequently,279,Research & Development,8,1 - Below College,Life Sciences,3 - High,Male,61,2 - Medium,2,Research Scientist,2 - Medium,Married,5130,24907,1,Y,No,23,4 - Outstanding,4 - Very High,1,10,3,3 - Better,10,7,1,7,45-54,466.3636363636364,1.0,0.7,Research Scientist_Research & Development
37,1,Travel_Rarely,1373,Research & Development,2,2 - College,Other,4 - Very High,Male,92,2 - Medium,1,Laboratory Technician,3 - High,Single,2090,2396,6,Y,Yes,15,3- Excellent,2 - Medium,0,7,3,3 - Better,0,0,0,0,35-44,2090.0,0.0,0.0,Laboratory Technician_Research & Development
33,0,Travel_Frequently,1392,Research & Development,3,4 - Master,Life Sciences,4 - Very High,Female,56,3 - High,1,Research Scientist,3 - High,Married,2909,23159,1,Y,Yes,11,3- Excellent,3 - High,0,8,3,3 - Better,8,7,3,0,25-34,323.22222222222223,1.0,0.875,Research Scientist_Research & Development
27,0,Travel_Rarely,591,Research & Development,2,1 - Below College,Medical,1 - Low,Male,40,3 - High,1,Laboratory Technician,2 - Medium,Married,3468,16632,9,Y,No,12,3- Excellent,4 - Very High,1,6,3,3 - Better,2,2,2,2,25-34,1156.0,0.3333333333333333,1.0,Laboratory Technician_Research & Development
32,0,Travel_Frequently,1005,Research & Development,2,2 - College,Life Sciences,4 - Very High,Male,79,3 - High,1,Laboratory Technician,4 - Very High,Single,3068,11864,0,Y,No,13,3- Excellent,3 - High,0,8,2,2- Good,7,7,3,6,25-34,383.5,0.875,1.0,Laboratory Technician_Research & Development
59,0,Travel_Rarely,1324,Research & Development,3,3 - Bachelor,Medical,3 - High,Female,81,4 - Very High,1,Laboratory Technician,1 - Low,Married,2670,9964,4,Y,Yes,20,4 - Outstanding,1 - Low,3,12,3,2- Good,1,0,0,0,55-64,1335.0,0.08333333333333333,0.0,Laboratory Technician_Research & Development
30,0,Travel_Rarely,1358,Research & Development,24,1 - Below College,Life Sciences,4 - Very High,Male,67,3 - High,1,Laboratory Technician,3 - High,Divorced,2693,13335,1,Y,No,22,4 - Outstanding,2 - Medium,1,1,2,3 - Better,1,0,0,0,25-34,1346.5,1.0,0.0,Laboratory Technician_Research & Development
38,0,Travel_Frequently,216,Research & Development,23,3 - Bachelor,Life Sciences,4 - Very High,Male,44,2 - Medium,3,Manufacturing Director,3 - High,Single,9526,8787,0,Y,No,21,4 - Outstanding,2 - Medium,0,10,2,3 - Better,9,7,1,8,35-44,952.6,0.9,0.7777777777777778,Manufacturing Director_Research & Development
36,0,Travel_Rarely,1299,Research & Development,27,3 - Bachelor,Medical,3 - High,Male,94,3 - High,2,Healthcare Representative,3 - High,Married,5237,16577,6,Y,No,13,3- Excellent,2 - Medium,2,17,3,2- Good,7,7,7,7,35-44,654.625,0.4117647058823529,1.0,Healthcare Representative_Research & Development
35,0,Travel_Rarely,809,Research & Development,16,3 - Bachelor,Medical,1 - Low,Male,84,4 - Very High,1,Laboratory Technician,2 - Medium,Married,2426,16479,0,Y,No,13,3- Excellent,3 - High,1,6,5,3 - Better,5,4,0,3,35-44,404.3333333333333,0.8333333333333334,0.8,Laboratory Technician_Research & Development
29,0,Travel_Rarely,153,Research & Development,15,2 - College,Life Sciences,4 - Very High,Female,49,2 - Medium,2,Laboratory Technician,3 - High,Single,4193,12682,0,Y,Yes,12,3- Excellent,4 - Very High,0,10,3,3 - Better,9,5,0,8,25-34,419.3,0.9,0.5555555555555556,Laboratory Technician_Research & Development
31,0,Travel_Rarely,670,Research & Development,26,1 - Below College,Life Sciences,1 - Low,Male,31,3 - High,1,Research Scientist,3 - High,Divorced,2911,15170,1,Y,No,17,3- Excellent,4 - Very High,1,5,1,2- Good,5,2,4,3,25-34,485.1666666666667,1.0,0.4,Research Scientist_Research & Development
34,0,Travel_Rarely,1346,Research & Development,19,2 - College,Medical,2 - Medium,Male,93,3 - High,1,Laboratory Technician,4 - Very High,Divorced,2661,8758,0,Y,No,11,3- Excellent,3 - High,1,3,2,3 - Better,2,2,1,2,25-34,887.0,0.6666666666666666,1.0,Laboratory Technician_Research & Development
28,1,Travel_Rarely,103,Research & Development,24,3 - Bachelor,Life Sciences,3 - High,Male,50,2 - Medium,1,Laboratory Technician,3 - High,Single,2028,12947,5,Y,Yes,14,3- Excellent,2 - Medium,0,6,4,3 - Better,4,2,0,3,25-34,405.6,0.6666666666666666,0.5,Laboratory Technician_Research & Development
29,0,Travel_Rarely,1389,Research & Development,21,4 - Master,Life Sciences,2 - Medium,Female,51,4 - Very High,3,Manufacturing Director,1 - Low,Divorced,9980,10195,1,Y,No,11,3- Excellent,3 - High,1,10,1,3 - Better,10,9,8,8,25-34,907.2727272727273,1.0,0.9,Manufacturing Director_Research & Development
